cpu_name,num_sockets,cores,price,cpu_mark,cpu_value,thread_mark,thread_value,tdp,power_perf,test_date,socket,category
QTI SM6475,1,8,,"5,924",,"2,040",,,,Feb 2025,Unknown,Mobile/Embedded
Qualcomm SA8155P,1,8,,"4,257",,"1,365",,,,Feb 2025,Unknown,Mobile/Embedded
"RK3568 AIoT3568 Board V2.1 AD52068, LVDS 8775 , HD",1,4,,"1,178",,526,,,,Feb 2025,Unknown,Mobile/Embedded
Rockchip RK3228A,1,4,,314,,202,,,,Feb 2025,Unknown,Mobile/Embedded
Snapdragon X   X126100   Qualcomm Oryon,1,8,,"16,843",,"2,892",,30,561.43,Feb 2025,Unknown,Laptop
sun8iw7,1,4,,237,,207,,,,Feb 2025,Unknown,Mobile/Embedded
Virtual @ 2.32GHz,1,8,,"1,826",,751,,,,Feb 2025,Unknown,Unknown
Virtual @ 2.95GHz,1,8,,"10,358",,"2,339",,,,Feb 2025,Unknown,Unknown
ZHAOXIN KaiXian KX 6640A@2.6GHz,1,4,,"1,766",,729,,,,Feb 2025,Unknown,Unknown
AMD EPYC 9275F,1,24,3439.00,"84,620",24.61,"3,810",1.11,320,264.44,Jan 2025,SP5,Server
AMD EPYC 9355P,1,32,2998.00,"97,255",32.44,"3,741",1.25,280,347.34,Jan 2025,SP5,Server
AMD EPYC 9375F,1,32,5306.00,"95,768",18.05,"3,762",0.71,320,299.28,Jan 2025,SP5,Server
AMD EPYC 9455P,1,48,4819.00,"116,713",24.22,"3,750",0.78,300,389.04,Jan 2025,SP5,Server
[Dual CPU] AMD EPYC 9555,2,64,19652.00,"180,981",9.21,"3,757",,360,,Jan 2025,SP5,Server
AMD Ryzen 5 2600E,1,6,,"12,346",,"2,297",,65,189.94,Jan 2025,AM4,Desktop
AMD Ryzen 5 PRO 8640U,1,6,,"23,509",,"3,792",,28,839.61,Jan 2025,FP7 FP7r2,Laptop
AMD Ryzen 7 PRO 5800H,1,8,,"19,313",,"3,136",,,,Jan 2025,AM4,Laptop
