cpu_name,num_sockets,cores,price,cpu_mark,cpu_value,thread_mark,thread_value,tdp,power_perf,test_date,socket,category
[Quad CPU] Intel Xeon E7 4850 v4 @ 2.10GHz,4,16,,"36,786",,"1,573",,115,,Jun 2025,FCLGA2011,Server
[Dual CPU] Intel Xeon Platinum 8280L @ 2.70GHz,2,28,29796.00,"65,975",2.21,"2,359",,205,,Jun 2025,FCLGA3647,Server
Intel Xeon w7 3545,1,24,2039.00,"59,163",29.02,"3,325",1.63,310,190.85,Jun 2025,FCLGA4677,Server
Mediatek MT8768,1,8,,"1,957",,630,,,,Jun 2025,Unknown,Mobile/Embedded
Mediatek MT8791V HZA,1,8,,"4,882",,"2,231",,,,Jun 2025,Unknown,Mobile/Embedded
Mediatek MT8791V TZA,1,8,,"2,909",,"2,082",,,,Jun 2025,Unknown,Mobile/Embedded
QTI SG8275,1,8,,"10,036",,"3,208",,,,Jun 2025,Unknown,Mobile/Embedded
QTI SM8735,1,8,,"11,144",,"2,711",,,,Jun 2025,Unknown,Mobile/Embedded
Snapdragon X Plus  8 core  @ 3.30 GHz,1,8,,"17,778",,"3,194",,,,Jun 2025,Unknown,Unknown
Spreadtrum UMS9230H,1,8,,"1,477",,"1,119",,,,Jun 2025,Unknown,Mobile/Embedded
StratoVirt,1,8,,"11,440",,"1,552",,,,Jun 2025,Unknown,Unknown
virt 10.0,1,4,,"3,127",,"1,338",,,,Jun 2025,Unknown,Unknown
virt 8.2,1,6,,"6,547",,"1,555",,,,Jun 2025,Unknown,Unknown
Virtual @ 2.89GHz,1,7,,"4,134",,"1,111",,,,Jun 2025,Unknown,Unknown
AMD EPYC 4245P,1,6,239.00,"31,316",131.03,"4,603",19.26,65,481.79,May 2025,AM5,Server
AMD EPYC 4345P,1,8,329.00,"37,671",114.50,"4,672",14.20,65,579.55,May 2025,AM5,Server
AMD EPYC 4565P,1,16,589.00,"64,006",108.67,"4,738",8.04,170,376.51,May 2025,AM5,Server
AMD EPYC 9755,1,128,12984.00,"166,328",12.81,"3,503",0.27,500,332.66,May 2025,SP5,Server
[Dual CPU] AMD EPYC 9755,2,128,25968.00,"197,637",7.61,"3,491",,500,,May 2025,SP5,Server
AMD EPYC 9B45,1,32,13564.00,"158,790",11.71,"3,540",0.26,390,407.15,May 2025,SP5,Server
AMD Ryzen 5 PRO 215,1,6,,"19,690",,"3,834",,28,703.22,May 2025,FP8,Laptop
AMD Ryzen 7 255,1,8,,"31,072",,"3,833",,,,May 2025,Unknown,Laptop
AMD Ryzen 9 4950U Mobile,1,8,,"16,290",,"2,724",,,,May 2025,Unknown,Laptop
AMD Ryzen 9 8940HX,1,16,,"54,675",,"4,033",,55,994.09,May 2025,FL1,"Desktop, Laptop"
AMD Ryzen 9 8945HX,1,16,,"50,251",,"3,963",,55,913.65,May 2025,FL1,Laptop
AMD Ryzen AI 9 H 365,1,10,,"28,941",,"3,624",,54,535.95,May 2025,Unknown,Laptop
AMD Ryzen Threadripper 9980X,1,64,,"153,564",,"4,591",,350,438.75,May 2025,sTR5,Desktop
AMD Ryzen Threadripper PRO 9995WX,1,96,,"174,825",,"4,565",,350,499.50,May 2025,sTR5,Desktop
Amlogic AMLA311D2,1,8,,"3,522",,"1,028",,,,May 2025,Unknown,Mobile/Embedded
ARM Cortex A72 2 Core 1703 MHz,1,2,,"1,005",,578,,,,May 2025,Unknown,Unknown
ARM Cortex A72 8 Core 2016 MHz,1,8,,"2,208",,591,,,,May 2025,Unknown,Unknown
ARM Cortex A720 8 Core 2600 MHz,1,8,,"6,141",,"1,455",,,,May 2025,Unknown,Unknown
ARM Cortex A76 4 Core 1608 MHz,1,4,,"2,698",,848,,,,May 2025,Unknown,Unknown
ARM Neoverse V2 2 Core 0 MHz,1,2,,"1,991",,"1,940",,,,May 2025,Unknown,Unknown
Broadcom BCM2712,1,4,,"4,095",,"1,804",,,,May 2025,Unknown,Mobile/Embedded
Essgoo,1,4,,497,,349,,,,May 2025,Unknown,Mobile/Embedded
Intel Atom C3708 @ 1.70GHz,1,8,224.00,"3,750",16.74,681,3.04,17,220.61,May 2025,FCBGA1310,Server
Intel Celeron 5305U @ 2.30GHz,1,2,128.00,"1,684",13.16,"1,195",9.34,15,112.27,May 2025,FCBGA1528,Laptop
Intel Core 3 201E,1,4,,"14,817",,"3,284",,60,246.95,May 2025,FCLGA1700,Mobile/Embedded
Intel Core 9 270H,1,14,,"31,602",,"4,404",,45,702.26,May 2025,FCBGA1744,Laptop
Intel Core i5 9500E @ 3.00GHz,1,6,192.00,"8,829",45.99,"2,153",11.22,65,135.84,May 2025,FCLGA1151,Mobile/Embedded
Intel Core Ultra 5 115U,1,8,,"13,024",,"3,057",,15,868.25,May 2025,FCBGA2049,Laptop
Intel Core Ultra 5 245,1,14,,"38,809",,"4,475",,65,597.06,May 2025,FCLGA1851,Desktop
Intel Core Ultra 7 265HX,1,20,,"49,826",,"4,531",,55,905.93,May 2025,FCBGA2114,Laptop
Intel Core Ultra 7 265T,1,20,,"36,838",,"4,624",,35,"1,052.52",May 2025,FCLGA1851,Desktop
Intel Ultra 5 115U,1,10,,"12,381",,"2,876",,15,825.38,May 2025,FCBGA2049,Mobile/Embedded
Intel Xeon 6325P,1,4,,"16,045",,"4,283",,55,291.73,May 2025,FCLGA1700,Server
Intel Xeon 6353P,1,8,426.00,"27,662",64.93,"4,200",9.86,65,425.57,May 2025,FCLGA1700,Server
Intel Xeon 6369P,1,8,606.00,"29,680",48.98,"4,322",7.13,95,312.42,May 2025,FCLGA1700,Server
[Dual CPU] Intel Xeon 6520P,2,24,2590.00,"99,016",38.23,"3,349",,210,,May 2025,FCLGA4710,Server
[Dual CPU] Intel Xeon 6747P,2,48,12994.00,"141,231",10.87,"3,201",,330,,May 2025,FCLGA4710,Server
Intel Xeon Bronze 3508U,1,8,415.00,"11,224",27.05,"1,663",4.01,125,89.79,May 2025,FCLGA4677,Server
[Quad CPU] Intel Xeon Platinum 8490H,4,60,68000.00,"157,156",2.31,"2,925",,350,,May 2025,FCLGA4677,Server
[Dual CPU] Intel Xeon Platinum 8558,2,48,9300.00,"100,177",10.77,"2,388",,330,,May 2025,FCLGA4677,Server
Intel Xeon w3 2525,1,8,609.00,"27,882",45.78,"3,430",5.63,175,159.33,May 2025,FCLGA4677,Server
Mediatek MT8195AV,1,8,,"6,251",,"1,977",,,,May 2025,Unknown,Mobile/Embedded
MT6739CW,1,4,,545,,353,,,,May 2025,Unknown,Mobile/Embedded
QTI QM215,1,4,,563,,347,,,,May 2025,Unknown,Mobile/Embedded
QTI SM4635,1,8,,"3,618",,"1,477",,,,May 2025,Unknown,Mobile/Embedded
AMD EPYC 8324PN 32 Core,1,8,,"8,375",,"1,232",,130,64.42,Apr 2025,Unknown,Desktop
[Dual CPU] AMD EPYC 9J45,2,128,,"201,335",,"3,488",,,,Apr 2025,Unknown,Server
AMD Ryzen 3 210,1,4,,"13,175",,"3,652",,28,470.55,Apr 2025,FP8,"Desktop, Laptop"
AMD Ryzen 5 220,1,6,,"18,260",,"3,595",,28,652.16,Apr 2025,FP8,"Desktop, Laptop"
AMD Ryzen 5 240,1,6,,"22,576",,"3,533",,45,501.69,Apr 2025,FP8,"Desktop, Laptop"
AMD Ryzen 5 7533HS,1,6,,"14,520",,"2,740",,54,268.88,Apr 2025,FP7,Laptop
AMD Ryzen 5 PRO 230,1,6,,"20,603",,"3,691",,28,735.84,Apr 2025,FP8,"Desktop, Laptop, Mobile/Embedded"
AMD Ryzen 5 PRO 8645HS,1,6,,"23,227",,"3,830",,45,516.16,Apr 2025,"FP7, FP7r2","Desktop, Laptop"
AMD Ryzen 7 260,1,8,,"29,955",,"3,823",,45,665.66,Apr 2025,Unknown,"Desktop, Laptop"
AMD Ryzen 7 7435H,1,8,,"24,156",,"3,324",,45,536.81,Apr 2025,FP7r2,"Desktop, Laptop"
AMD Ryzen 7 PRO 250,1,8,,"23,279",,"3,795",,28,831.38,Apr 2025,FP8,Laptop
AMD Ryzen 9 9955HX,1,16,,"57,640",,"4,459",,55,"1,048.00",Apr 2025,FL1,"Desktop, Laptop"
AMD Ryzen 9 9955HX3D,1,16,,"61,403",,"4,492",,55,"1,116.42",Apr 2025,FL1,"Desktop, Laptop"
AMD Ryzen AI 5 340,1,6,,"20,196",,"3,873",,28,721.27,Apr 2025,FP8,"Desktop, Laptop"
AMD Ryzen AI 5 PRO 340,1,6,,"18,999",,"3,778",,28,678.53,Apr 2025,FP8,"Desktop, Laptop"
AMD Ryzen AI 7 H 350,1,8,,"27,316",,"3,970",,28,975.58,Apr 2025,Unknown,Unknown
AMD Ryzen AI Max Pro 385,1,8,,"33,441",,"4,052",,55,608.02,Apr 2025,FP11,"Desktop, Laptop"
AMD Ryzen Embedded V1780B,1,6,,"6,219",,"1,607",,45,138.21,Apr 2025,Unknown,Mobile/Embedded
ARM ARMv8 rev 1  v8l  4 Core 1510 MHz,1,4,,"1,042",,476,,,,Apr 2025,Unknown,Unknown
ARM Cortex A35 4 Core 2004 MHz,1,4,,546,,259,,,,Apr 2025,Unknown,Unknown
ARM Kryo 3XX Gold 8 Core 1766 MHz,1,8,,"2,372",,870,,,,Apr 2025,Unknown,Unknown
ARM Kryo 4XX Silver 4 Core 1804 MHz,1,4,,"3,425",,"1,543",,,,Apr 2025,Unknown,Unknown
CIX P1 CD8180,1,12,,"9,277",,"1,376",,,,Apr 2025,Unknown,"Desktop, Laptop"
Intel 3 N350,1,8,,"4,877",,"1,757",,7,696.75,Apr 2025,FCBGA1264,Mobile/Embedded
Intel Core 3 N350,1,8,,"7,117",,"1,806",,7,"1,016.78",Apr 2025,FCBGA1264,Mobile/Embedded
Intel Core i5 1345URE,1,10,340.00,"11,565",34.01,"3,122",9.18,15,770.98,Apr 2025,FCBGA1744,Mobile/Embedded
Intel Core Ultra 5 235T,1,14,247.00,"32,438",131.33,"4,425",17.92,65,499.05,Apr 2025,FCLGA1851,Desktop
Intel Core Ultra 5 245T,1,14,270.00,"32,036",118.65,"4,456",16.50,35,915.32,Apr 2025,FCLGA1851,Desktop
Intel Core Ultra 7 255HX,1,20,,"50,739",,"4,645",,55,922.53,Apr 2025,FCBGA2114,Laptop
Intel Core Ultra 7 265H,1,16,,"34,067",,"4,432",,28,"1,216.68",Apr 2025,FCBGA2049,Laptop
Intel Core Ultra 9 285HX,1,24,,"62,297",,"4,784",,55,"1,132.68",Apr 2025,FCBGA2114,Laptop
Intel CoreTM Ultra 5 115U,1,8,,"12,771",,"3,421",,15,851.42,Apr 2025,FCBGA2049,Laptop
Intel Pentium Gold G7400E,1,2,79.00,"6,134",77.65,"2,875",36.39,46,133.35,Apr 2025,FCLGA1700,Mobile/Embedded
Intel Xeon 6521P,1,24,1250.00,"57,970",46.38,"2,829",2.26,225,257.65,Apr 2025,FCLGA4710,Server
[Dual CPU] Intel Xeon 6530P,2,32,4468.00,"124,434",27.85,"3,453",,225,,Apr 2025,FCLGA4710,Server
[Dual CPU] Intel Xeon 6736P,2,36,,"125,444",,"3,445",,205,,Apr 2025,FCLGA4710,Server
[Dual CPU] Intel Xeon 6737P,2,32,9990.00,"127,075",12.72,"3,366",,270,,Apr 2025,FCLGA4710,Server
[Dual CPU] Intel Xeon 6740P,2,48,9300.00,"122,165",13.14,"3,185",,270,,Apr 2025,FCLGA4710,Server
Intel Xeon 6741P,1,48,4421.00,"100,660",22.77,"3,195",0.72,300,335.53,Apr 2025,FCLGA4710,Server
[Dual CPU] Intel Xeon 6787P,2,86,20800.00,"148,896",7.16,"3,137",,350,,Apr 2025,FCLGA4710,Server
Intel Xeon D 2766NT @ 2.00GHz,1,14,1224.00,"24,013",19.62,"1,930",1.58,97,247.56,Apr 2025,FCBGA2579,Server
[Dual CPU] Intel Xeon E7 4820 v2 @ 2.00GHz,2,8,,"9,610",,"1,324",,,,Apr 2025,FCLGA2011,Server
Intel Xeon Platinum 8260C @ 2.40GHz,1,24,,"34,420",,"2,203",,,,Apr 2025,FCLGA3647,Server
