cpu_name,num_sockets,cores,price,cpu_mark,cpu_value,thread_mark,thread_value,tdp,power_perf,test_date,socket,category
AMD EPYC 7451,1,24,1787.00,"25,863",14.47,"1,955",1.09,180,143.69,Jan 2018,SP3,Server
[Dual CPU] AMD EPYC 7451,2,24,3574.00,"52,322",14.64,"1,931",,180,,Jan 2018,SP3,Server
AMD EPYC 7452,1,32,1429.21,"44,759",31.32,"1,990",1.39,155,288.77,Nov 2019,SP3,Server
[Dual CPU] AMD EPYC 7452,2,32,2858.42,"77,746",27.20,"2,160",,155,,Nov 2019,SP3,Server
AMD EPYC 7453,1,28,1461.48,"50,575",34.61,"2,522",1.73,225,224.78,Dec 2021,SP3,Server
[Dual CPU] AMD EPYC 7453,2,28,2922.96,"80,327",27.48,"2,371",,225,,Dec 2021,SP3,Server
AMD EPYC 7473X,1,24,,"59,280",,"2,751",,240,247.00,Sep 2022,SP3,Server
[Dual CPU] AMD EPYC 7473X,2,24,,"81,282",,"2,201",,240,,Sep 2022,SP3,Server
AMD EPYC 74F3,1,24,2989.95,"60,666",20.29,"2,942",0.98,240,252.77,Oct 2021,SP3,Server
[Dual CPU] AMD EPYC 74F3,2,24,5979.90,"95,621",15.99,"2,982",,240,,Oct 2021,SP3,Server
AMD EPYC 7501,1,32,1325.96,"24,925",18.80,"1,925",1.45,155,160.81,Dec 2017,SP3,Server
AMD EPYC 7502,1,32,823.92,"47,983",58.24,"2,021",2.45,180,266.57,Nov 2020,SP3,Server
[Dual CPU] AMD EPYC 7502,2,32,1647.84,"80,300",48.73,"2,189",,180,,Nov 2020,SP3,Server
AMD EPYC 7502P,1,32,1275.00,"50,667",39.74,"2,014",1.58,180,281.49,Sep 2019,SP3,Server
AMD EPYC 7513,1,32,1115.99,"59,285",53.12,"2,442",2.19,200,296.43,Jun 2021,SP3,Server
[Dual CPU] AMD EPYC 7513,2,32,2231.98,"96,409",43.19,"2,730",,200,,Jun 2021,SP3,Server
AMD EPYC 7532,1,32,319.95,"52,612",164.44,"2,051",6.41,200,263.06,Aug 2021,SP3,Server
[Dual CPU] AMD EPYC 7532,2,32,639.90,"82,196",128.45,"2,139",,200,,Aug 2021,SP3,Server
AMD EPYC 7542,1,32,479.99,"45,003",93.76,"2,102",4.38,225,200.01,Nov 2019,SP3,Server
[Dual CPU] AMD EPYC 7542,2,32,959.98,"73,885",76.96,"2,073",,225,,Nov 2019,SP3,Server
AMD EPYC 7543,1,32,3761.00,"58,303",15.50,"2,307",0.61,240,242.93,Jun 2021,SP3,Server
[Dual CPU] AMD EPYC 7543,2,32,7522.00,"98,074",13.04,"2,621",,240,,Jun 2021,SP3,Server
AMD EPYC 7543P,1,32,1510.80,"66,687",44.14,"2,741",1.81,225,296.38,Sep 2021,SP3,Server
AMD EPYC 7551,1,32,142.95,"24,534",171.63,"1,758",12.29,180,136.30,Sep 2017,SP3,Server
[Dual CPU] AMD EPYC 7551,2,32,285.90,"57,865",202.40,"1,789",,180,,Sep 2017,SP3,Server
AMD EPYC 7551P,1,32,199.95,"38,126",190.68,"1,770",8.85,180,211.81,Mar 2018,SP3,Server
AMD EPYC 7552,1,48,1699.00,"61,282",36.07,"2,163",1.27,200,306.41,Aug 2020,SP3,Server
[Dual CPU] AMD EPYC 7552,2,48,3398.00,"72,235",21.26,"1,527",,200,,Aug 2020,SP3,Server
AMD EPYC 7571,1,32,,"27,445",,"1,934",,120,228.71,Sep 2019,SP3,Server
AMD EPYC 7573X,1,32,5250.00,"69,432",13.23,"2,674",0.51,280,247.97,Aug 2022,SP3,Server
[Dual CPU] AMD EPYC 7573X,2,32,10500.00,"103,531",9.86,"2,650",,280,,Aug 2022,SP3,Server
AMD EPYC 75F3,1,32,5344.45,"68,505",12.82,"2,775",0.52,280,244.66,Jun 2021,SP3,Server
[Dual CPU] AMD EPYC 75F3,2,32,10688.90,"101,429",9.49,"2,664",,280,,Jun 2021,SP3,Server
AMD EPYC 7601,1,32,329.95,"34,079",103.29,"1,890",5.73,180,189.33,Dec 2017,SP3,Server
[Dual CPU] AMD EPYC 7601,2,32,659.90,"53,737",81.43,"1,765",,180,,Dec 2017,SP3,Server
AMD EPYC 7642,1,48,950.00,"58,248",61.31,"2,045",2.15,225,258.88,May 2021,SP3,Server
[Dual CPU] AMD EPYC 7642,2,48,1900.00,"94,050",49.50,"2,140",,225,,May 2021,SP3,Server
AMD EPYC 7643,1,48,1474.00,"76,050",51.59,"2,691",1.83,225,338.00,Mar 2021,SP3,Server
[Dual CPU] AMD EPYC 7643,2,48,2948.00,"88,348",29.97,"1,915",,225,,Mar 2021,SP3,Server
AMD EPYC 7662,1,64,3999.99,"72,298",18.07,"2,102",0.53,225,321.32,Apr 2021,SP3,Server
[Dual CPU] AMD EPYC 7662,2,64,7999.98,"97,178",12.15,"2,089",,225,,Apr 2021,SP3,Server
AMD EPYC 7663,1,56,,"82,087",,"2,606",,240,342.03,Jan 2024,SP3,Server
AMD EPYC 7702,1,64,1399.00,"70,107",50.11,"2,095",1.50,200,350.53,May 2020,SP3,Server
[Dual CPU] AMD EPYC 7702,2,64,2798.00,"94,529",33.78,"2,102",,200,,May 2020,SP3,Server
AMD EPYC 7702P,1,64,1561.17,"63,300",40.55,"2,124",1.36,200,316.50,Sep 2019,SP3,Server
AMD EPYC 7713,1,64,1575.90,"82,666",52.46,"2,637",1.67,225,367.41,Mar 2021,SP3,Server
[Dual CPU] AMD EPYC 7713,2,64,3151.80,"114,468",36.32,"2,590",,225,,Mar 2021,SP3,Server
AMD EPYC 7713P,1,64,1800.00,"81,201",45.11,"2,609",1.45,225,360.89,Jan 2022,SP3,Server
AMD EPYC 7742,1,64,1688.00,"69,663",41.27,"2,162",1.28,225,309.61,Sep 2019,SP3,Server
[Dual CPU] AMD EPYC 7742,2,64,3376.00,"94,081",27.87,"2,046",,225,,Sep 2019,SP3,Server
AMD EPYC 7763,1,64,1489.95,"84,706",56.85,"2,528",1.70,280,302.52,Mar 2021,SP3,Server
[Dual CPU] AMD EPYC 7763,2,64,2979.90,"115,607",38.80,"2,512",,280,,Mar 2021,SP3,Server
AMD EPYC 7773X,1,64,2007.00,"91,491",45.59,"2,570",1.28,280,326.75,Jun 2022,SP3,Server
[Dual CPU] AMD EPYC 7773X,2,64,4014.00,"108,504",27.03,"2,437",,280,,Jun 2022,SP3,Server
AMD EPYC 7B12,1,64,,"66,044",,"1,927",,240,275.18,Jun 2021,SP3,Server
[Dual CPU] AMD EPYC 7B12,2,64,,"102,240",,"2,145",,240,,Jun 2021,SP3,Server
AMD EPYC 7B13,1,60,,"77,460",,"2,564",,,,Sep 2021,Unknown,Server
AMD EPYC 7C13,1,64,,"70,474",,"2,607",,,,Jun 2024,Unknown,Server
AMD EPYC 7D12,1,32,,"43,032",,"1,895",,85,506.26,Oct 2022,Unknown,Server
AMD EPYC 7F32,1,8,2465.51,"23,453",9.51,"2,466",1.00,180,130.29,Oct 2020,SP3,Server
[Dual CPU] AMD EPYC 7F32,2,8,4931.02,"39,712",8.05,"2,415",,180,,Oct 2020,SP3,Server
AMD EPYC 7F52,1,16,1705.52,"40,251",23.60,"2,471",1.45,240,167.71,Jun 2020,SP3,Server
[Dual CPU] AMD EPYC 7F52,2,16,3411.04,"64,806",19.00,"2,439",,240,,Jun 2020,SP3,Server
AMD EPYC 7F72,1,24,941.45,"52,597",55.87,"2,381",2.53,240,219.16,Jul 2020,SP3,Server
