videocard_name,price,g3d_mark,videocard_value,g2d_mark,tdp,power_perf,vram,test_date,category
GeForce GT 820M,,564,,147,,,,Oct 2016,Mobile
GeForce GT625M,,457,,136,,,,Jan 2014,Mobile
GeForce GTS 150M,,504,,407,,,1024,Oct 2014,Mobile
GeForce GTS 160M,,679,,308,60,11.31,1024,Jul 2009,Mobile
GeForce GTS 240,64.99,556,8.56,134,120,4.63,1024,Sep 2009,Desktop
GeForce GTS 250,87.60,598,6.83,57,150,3.99,1024,Aug 2012,Desktop
GeForce GTS 250M,,554,,50,28,19.78,1024,Oct 2009,Mobile
GeForce GTS 350M,,408,,113,28,14.56,1024,Aug 2010,Mobile
GeForce GTS 360M,,654,,58,38,17.20,1024,Jan 2010,Mobile
GeForce GTS 450,139.48,"1,321",9.47,303,106,12.46,1024,Aug 2012,Desktop
GeForce GTX 1050,239.00,"5,039",21.08,462,75,67.19,2048,Oct 2016,Desktop
GeForce GTX 1050 (Mobile),,"4,462",,292,,,4096,Apr 2019,Mobile
GeForce GTX 1050 3GB,,"5,109",,593,75,68.13,3072,Apr 2020,Desktop
GeForce GTX 1050 Ti,428.06,"6,314",14.75,648,75,84.19,4096,Oct 2016,Desktop
GeForce GTX 1050 Ti (Mobile),,"5,919",,323,,,4096,Apr 2019,Mobile
GeForce GTX 1050 Ti with Max-Q Design,,"5,355",,425,,,4096,Apr 2018,Mobile
GeForce GTX 1050 with Max-Q Design,,"4,070",,288,,,4096,Aug 2018,Mobile
GeForce GTX 1060,339.99,"10,075",29.63,750,120,83.96,6144,Jul 2016,Desktop
GeForce GTX 1060 (Mobile),,"8,161",,444,80,102.01,6144,Apr 2019,Mobile
GeForce GTX 1060 3GB,235.47,"9,760",41.45,773,120,81.33,3072,Aug 2016,Desktop
GeForce GTX 1060 5GB,487.99,"9,058",18.56,617,120,75.49,5120,Apr 2018,Desktop
GeForce GTX 1060 with Max-Q Design,,"7,902",,409,80,98.77,6144,Jun 2017,Mobile
GeForce GTX 1070,529.99,"13,505",25.48,848,150,90.03,8192,Jun 2016,Desktop
GeForce GTX 1070 (Mobile),,"10,465",,603,,,8192,Apr 2019,Mobile
GeForce GTX 1070 Ti,569.99,"14,694",25.78,874,180,81.63,8192,Nov 2017,Desktop
GeForce GTX 1070 with Max-Q Design,,"9,922",,430,90,110.25,8192,Jul 2017,Mobile
GeForce GTX 1080,442.79,"15,542",35.10,888,180,86.35,8192,May 2016,Desktop
GeForce GTX 1080 Ti,483.82,"18,564",38.37,934,250,74.26,11264,Mar 2017,Desktop
GeForce GTX 1080 with Max-Q Design,,"11,521",,740,110,104.73,8192,Jul 2017,Mobile
GeForce GTX 1630,189.99,"4,977",26.19,648,,,,Aug 2022,Unknown
GeForce GTX 1650,149.99,"7,876",52.51,573,75,105.02,4096,Apr 2019,Desktop
GeForce GTX 1650 (Mobile),,"6,969",,384,50,139.38,4096,May 2019,Mobile
GeForce GTX 1650 SUPER,222.06,"10,159",45.75,750,100,101.59,4096,Nov 2019,Desktop
GeForce GTX 1650 Ti,,"7,545",,385,55,137.19,4096,Mar 2020,Mobile
GeForce GTX 1650 Ti with Max-Q Design,,"6,415",,334,35,183.30,4096,May 2020,Mobile
GeForce GTX 1650 with Max-Q Design,,"6,180",,326,35,176.57,4096,Jun 2019,Mobile
GeForce GTX 1660,259.81,"11,682",44.96,780,120,97.35,6144,Mar 2019,Desktop
GeForce GTX 1660 SUPER,227.99,"12,755",55.95,806,125,102.04,6144,Nov 2019,Desktop
GeForce GTX 1660 Ti,307.79,"12,914",41.96,810,120,107.62,6144,Feb 2019,Desktop
GeForce GTX 1660 Ti (Mobile),,"10,185",,483,80,127.32,6144,May 2019,Mobile
GeForce GTX 1660 Ti with Max-Q Design,,"8,597",,363,60,143.28,6144,May 2019,Mobile
GeForce GTX 260,285.78,"1,219",4.27,57,202,6.04,896,Aug 2012,Desktop
GeForce GTX 260M,,379,,43,65,5.83,1024,Aug 2012,Mobile
GeForce GTX 275,431.72,"1,409",3.26,73,219,6.43,896,Aug 2012,Desktop
GeForce GTX 280,522.78,"1,299",2.49,62,236,5.51,1024,Aug 2012,Desktop
GeForce GTX 280M,,576,,153,75,7.68,1024,May 2009,Mobile
GeForce GTX 285,119.99,"1,515",12.63,76,204,7.43,1024,Apr 2009,Desktop
GeForce GTX 285M,,636,,128,75,8.48,1024,Feb 2010,Mobile
GeForce GTX 295,159.99,"1,206",7.54,103,289,4.17,1792,Apr 2009,Desktop
GeForce GTX 460,89.99,"2,263",25.15,384,150,15.09,768,Aug 2012,Desktop
GeForce GTX 460 SE,159.99,"2,003",12.52,362,150,13.35,1024,Aug 2012,Desktop
GeForce GTX 460 v2,199.99,"1,872",9.36,418,160,11.70,1024,Oct 2011,Desktop
GeForce GTX 460M,,"1,246",,259,50,24.92,1536,Aug 2012,Mobile
GeForce GTX 465,195.00,"2,657",13.63,448,200,13.28,1024,Aug 2012,Desktop
GeForce GTX 470,59.99,"3,107",51.79,406,215,14.45,1280,Aug 2012,Desktop
GeForce GTX 470M,,"1,953",,413,50,39.07,1536,Dec 2010,Mobile
GeForce GTX 480,169.99,"4,107",24.16,445,250,16.43,1536,Aug 2012,Desktop
GeForce GTX 480M,,"1,617",,458,100,16.17,2048,Jul 2010,Mobile
GeForce GTX 485M,,"2,360",,479,100,23.60,2048,Jan 2011,Mobile
GeForce GTX 550 Ti,99.99,"1,554",15.54,375,116,13.39,3072,Aug 2012,Desktop
GeForce GTX 555,,"1,572",,447,150,10.48,1024,Feb 2012,Desktop
GeForce GTX 560,205.00,"2,748",13.41,429,150,18.32,1024,Aug 2012,Desktop
GeForce GTX 560 SE,89.99,"1,914",21.27,423,150,12.76,1024,Aug 2012,Desktop
GeForce GTX 560 Ti,129.99,"3,049",23.46,429,170,17.93,2048,Aug 2012,Desktop
GeForce GTX 560M,,"1,261",,261,75,16.81,3072,Jun 2011,Mobile
GeForce GTX 570,149.99,"3,924",26.16,473,219,17.92,2560,Aug 2012,Desktop
GeForce GTX 570M,,"1,864",,358,75,24.85,1536,Sep 2011,Mobile
GeForce GTX 580,446.54,"4,583",10.26,476,244,18.78,3072,Aug 2012,Desktop
GeForce GTX 580M,248.68,"2,074",8.34,349,100,20.74,2048,Jul 2011,Mobile
GeForce GTX 590,435.00,"3,341",7.68,394,365,9.15,3072,Mar 2011,Desktop
GeForce GTX 645,,"1,875",,430,64,29.30,1024,May 2013,Desktop
GeForce GTX 650,143.80,"1,750",12.17,361,64,27.35,2048,Sep 2012,Desktop
GeForce GTX 650 Ti,93.05,"2,525",27.14,410,110,22.96,2048,Oct 2012,Desktop
GeForce GTX 650 Ti BOOST,,"3,341",,460,134,24.93,2048,Apr 2013,Desktop
GeForce GTX 660,167.95,"4,000",23.81,479,140,28.57,3072,Sep 2012,Desktop
GeForce GTX 660 Ti,144.00,"4,427",30.75,465,150,29.52,3072,Aug 2012,Desktop
GeForce GTX 660M,78.99,"1,438",18.21,266,50,28.77,2048,May 2012,Mobile
GeForce GTX 670,193.98,"5,326",27.46,531,170,31.33,4096,Aug 2012,Desktop
GeForce GTX 670M,,"1,745",,301,75,23.26,3072,May 2012,Mobile
GeForce GTX 670MX,,"1,951",,328,75,26.02,3072,Dec 2012,Mobile
GeForce GTX 675M,,"1,928",,314,100,19.28,2048,May 2012,Mobile
GeForce GTX 675MX,,"2,717",,371,100,27.17,4096,Jan 2013,Mobile
GeForce GTX 680,399.00,"5,561",13.94,530,195,28.52,4096,Aug 2012,Desktop
GeForce GTX 680M,135.99,"3,216",23.65,346,100,32.16,4096,Jul 2012,Mobile
GeForce GTX 680M KY_Bullet Edition,,"3,569",,581,,,,Oct 2017,Mobile
GeForce GTX 680MX,,"4,138",,534,122,33.92,4096,Jan 2013,Mobile
GeForce GTX 690,280.99,"5,572",19.83,469,300,18.57,2048,May 2012,Desktop
GeForce GTX 745,284.95,"2,139",7.51,472,55,38.89,4096,Mar 2014,Desktop
GeForce GTX 750,135.18,"3,354",24.81,507,55,60.98,2048,Feb 2014,Desktop
GeForce GTX 750 Ti,88.11,"3,904",44.30,514,60,65.06,4096,Feb 2014,Desktop
GeForce GTX 760,149.00,"4,793",32.17,529,170,28.19,4096,Jun 2013,Desktop
GeForce GTX 760 Ti,297.50,"5,241",17.62,579,170,30.83,2048,Jan 2014,Desktop
GeForce GTX 760 Ti OEM,,"5,427",,694,,,,Jul 2019,Unknown
GeForce GTX 760A,,"1,226",,384,,,,Apr 2015,Unknown
GeForce GTX 760M,,"1,720",,232,55,31.28,2048,Aug 2013,Mobile
GeForce GTX 765M,186.30,"1,991",10.68,288,65,30.62,2048,Jun 2013,Mobile
GeForce GTX 770,249.00,"5,920",23.78,561,230,25.74,4096,Jun 2013,Desktop
GeForce GTX 770M,138.00,"2,797",20.27,341,75,37.29,3072,Jun 2013,Mobile
GeForce GTX 775M,,"3,635",,554,,,,Nov 2013,Mobile
GeForce GTX 780,279.99,"8,006",28.59,587,250,32.02,6144,May 2013,Desktop
GeForce GTX 780 Ti,339.99,"9,514",27.98,634,250,38.06,3072,Nov 2013,Desktop
GeForce GTX 780M,499.00,"3,852",7.72,424,122,31.58,4096,Jun 2013,Mobile
GeForce GTX 850A,,"1,050",,551,,,,May 2015,Unknown
GeForce GTX 850M,,"2,516",,226,40,62.91,2048,May 2014,Mobile
GeForce GTX 850M - MODDED,,"1,092",,819,,,,Oct 2014,Mobile
GeForce GTX 860M,114.00,"3,051",26.76,226,45,67.80,2048,Apr 2014,Mobile
GeForce GTX 870M,,"3,450",,276,110,31.36,6144,Mar 2014,Mobile
GeForce GTX 880M,,"3,818",,333,130,29.37,8192,Mar 2014,Mobile
GeForce GTX 950,141.99,"5,335",37.58,643,90,59.28,2048,Aug 2015,Desktop
GeForce GTX 950A,,"2,554",,256,,,,Oct 2015,Unknown
GeForce GTX 950M,567.00,"2,587",4.56,217,75,34.49,2048,Mar 2015,Mobile
GeForce GTX 960,172.00,"6,078",35.34,673,120,50.65,4096,Jan 2015,Desktop
GeForce GTX 960A,,"3,355",,326,,,,Dec 2015,Unknown
GeForce GTX 960M,1169.00,"3,382",2.89,246,65,52.03,4096,Apr 2015,Mobile
GeForce GTX 965M,,"3,794",,337,60,63.23,4096,Jan 2015,Mobile
GeForce GTX 970,237.99,"9,638",40.50,770,145,66.47,4096,Sep 2014,Desktop
GeForce GTX 970M,209.99,"5,720",27.24,388,75,76.27,3072,Oct 2014,Mobile
GeForce GTX 970XM FORCE,,"6,707",,725,,,,Aug 2018,Unknown
GeForce GTX 980,247.35,"11,097",44.86,793,165,67.25,4096,Sep 2014,Desktop
GeForce GTX 980 Ti,644.61,"13,813",21.43,852,250,55.25,6144,Jun 2015,Desktop
GeForce GTX 980M,289.99,"7,354",25.36,495,100,73.54,4096,Oct 2014,Mobile
GeForce GTX Titan,745.00,"8,190",10.99,630,250,32.76,6144,Feb 2013,Desktop
GeForce GTX TITAN Black,1235.09,"8,972",7.26,592,250,35.89,6144,Mar 2014,Desktop
GeForce GTX TITAN X,1096.99,"12,941",11.80,836,250,51.77,12288,Mar 2015,Desktop
GeForce GTX TITAN Z,1515.00,"8,987",5.93,656,375,23.96,12288,Jun 2014,Desktop
GeForce MX110,,"1,436",,189,,,,Dec 2017,Unknown
GeForce MX130,,"1,839",,197,,,,Jan 2018,Unknown
GeForce MX150,59.29,"2,274",38.35,214,25,90.95,2048,Jul 2017,Mobile
GeForce MX230,,"1,834",,216,,,,Jan 2019,Unknown
GeForce MX250,,"2,418",,241,,,,Apr 2019,Unknown
GeForce MX330,,"2,433",,229,,,,Apr 2020,Unknown
GeForce MX350,,"2,806",,238,,,,Mar 2020,Unknown
GeForce MX450,,"3,733",,303,,,,Oct 2020,Unknown
GeForce MX550,,"4,555",,399,,,,Jan 2022,Unknown
GeForce MX570,,"5,742",,401,,,,Jun 2022,Unknown
GeForce MX570 A,,"6,005",,381,,,,Aug 2022,Unknown
GeForce PCX 5300,,6,,197,,,128,May 2009,Desktop
GeForce PCX 5750,,35,,310,,,128,Jun 2010,Desktop
GeForce PCX 5900,,34,,258,,,256,Apr 2009,Desktop
GeForce RTX 2050,,"7,693",,470,45,170.96,4096,Feb 2022,Mobile
GeForce RTX 2060,428.87,"14,150",32.99,748,160,88.44,6144,Jan 2019,Desktop
GeForce RTX 2060 (Mobile),,"11,355",,540,80,141.93,6144,Apr 2019,Mobile
GeForce RTX 2060 12GB,,"15,920",,837,185,86.05,12288,Jan 2022,Desktop
GeForce RTX 2060 SUPER,415.98,"16,542",39.77,857,175,94.53,8192,Jul 2019,Desktop
GeForce RTX 2060 with Max-Q Design,,"9,754",,414,65,150.05,6144,Apr 2020,Mobile
GeForce RTX 2070,389.46,"16,155",41.48,821,175,92.31,8192,Oct 2018,Desktop
GeForce RTX 2070 (Mobile),,"12,354",,601,115,107.43,8192,Apr 2019,Mobile
GeForce RTX 2070 SUPER,539.99,"18,230",33.76,882,215,84.79,8192,Jul 2019,Desktop
GeForce RTX 2070 Super with Max-Q Design,,"13,771",,621,80,172.14,8192,Apr 2020,Mobile
GeForce RTX 2070 with Max-Q Design,,"11,690",,479,80,146.12,8192,Feb 2019,Mobile
GeForce RTX 2080,800.61,"18,803",23.49,907,250,75.21,8096,Sep 2018,Desktop
GeForce RTX 2080 (Mobile),,"15,107",,812,150,100.71,8192,Apr 2019,Mobile
GeForce RTX 2080 SUPER,684.86,"19,572",28.58,921,250,78.29,8192,Jul 2019,Desktop
GeForce RTX 2080 Super with Max-Q Design,,"13,849",,583,80,173.11,8192,Apr 2020,Mobile
GeForce RTX 2080 Ti,1299.99,"21,758",16.74,933,250,87.03,11264,Sep 2018,Desktop
GeForce RTX 2080 with Max-Q Design,2099.99,"13,106",6.24,534,90,145.62,8192,Feb 2019,Mobile
GeForce RTX 3050 4GB Laptop GPU,,"6,750",,402,80,84.38,4096,Mar 2023,Mobile
GeForce RTX 3050 6GB,161.99,"10,636",65.66,802,70,151.94,6144,Feb 2024,Desktop
GeForce RTX 3050 6GB Laptop GPU,,"10,335",,599,80,129.19,6144,Mar 2023,Mobile
GeForce RTX 3050 8GB,184.99,"12,810",69.25,934,130,98.54,8192,Jan 2022,Desktop
GeForce RTX 3050 A Laptop GPU,,"6,038",,478,,,,Sep 2024,Desktop
GeForce RTX 3050 Laptop GPU,269.99,"9,452",35.01,476,75,126.03,4096,May 2021,Mobile
GeForce RTX 3050 OEM,174.97,"11,994",68.55,955,,,,Jul 2022,Unknown
GeForce RTX 3050 Ti Laptop GPU,,"10,143",,498,80,126.79,4096,May 2021,Mobile
GeForce RTX 3060 12GB,259.99,"17,006",65.41,962,170,100.03,12288,Feb 2021,Desktop
GeForce RTX 3060 8GB,,"15,353",,970,170,90.31,8192,Oct 2022,Desktop
GeForce RTX 3060 Laptop GPU,309.99,"13,364",43.11,589,115,116.21,6144,Feb 2021,Mobile
GeForce RTX 3060 Ti,401.69,"20,509",51.06,992,200,102.55,8192,Dec 2020,Desktop
GeForce RTX 3070,419.99,"22,374",53.27,997,220,101.70,8192,Oct 2020,Desktop
GeForce RTX 3070 Laptop GPU,,"15,482",,649,115,134.62,8192,Jan 2021,Mobile
GeForce RTX 3070 Ti,650.50,"23,598",36.28,"1,048",290,81.37,8192,Jun 2021,Desktop
GeForce RTX 3070 Ti Laptop GPU,,"18,004",,779,115,156.55,8192,Feb 2022,Mobile
GeForce RTX 3080,679.99,"25,239",37.12,"1,039",320,78.87,10240,Sep 2020,Desktop
GeForce RTX 3080 12GB,,"26,668",,"1,084",350,76.20,12288,Jan 2022,Desktop
GeForce RTX 3080 Laptop GPU,,"16,452",,642,115,143.06,8192,Jan 2021,Mobile
GeForce RTX 3080 Ti,1106.16,"27,122",24.52,"1,087",350,77.49,12288,Jun 2021,Desktop
GeForce RTX 3080 Ti Laptop GPU,,"19,758",,837,115,171.81,16384,Jan 2022,Mobile
GeForce RTX 3090,341.52,"26,747",78.32,"1,050",350,76.42,24576,Sep 2020,Desktop
GeForce RTX 3090 Ti,2161.32,"29,700",13.74,"1,226",450,66.00,24576,Mar 2022,Desktop
GeForce RTX 4050 Laptop GPU,,"14,501",,620,115,126.10,6144,Mar 2023,Mobile
GeForce RTX 4060,284.99,"19,848",69.64,"1,089",115,172.59,8192,Jul 2023,Desktop
GeForce RTX 4060 Laptop GPU,,"17,660",,731,115,153.56,8192,Feb 2023,Mobile
GeForce RTX 4060 Ti,374.99,"22,903",61.08,"1,068",160,143.14,8192,May 2023,Desktop
GeForce RTX 4060 Ti 16GB,429.99,"22,872",53.19,"1,070",165,138.62,16384,Aug 2023,Desktop
GeForce RTX 4070,539.99,"26,953",49.91,"1,116",200,134.76,12288,Apr 2023,Desktop
GeForce RTX 4070 Laptop GPU,,"19,554",,765,115,170.03,8192,Feb 2023,Mobile
GeForce RTX 4070 SUPER,599.99,"30,127",50.21,"1,145",220,136.94,12288,Jan 2024,Desktop
GeForce RTX 4070 Ti,729.99,"31,782",43.54,"1,194",285,111.52,12288,Jan 2023,Desktop
GeForce RTX 4070 Ti SUPER,799.99,"31,697",39.62,"1,187",285,111.22,16384,Jan 2024,Desktop
GeForce RTX 4080,959.99,"34,623",36.07,"1,234",320,108.20,16384,Nov 2022,Desktop
GeForce RTX 4080 Laptop GPU,,"25,171",,944,150,167.81,12288,Feb 2023,Mobile
GeForce RTX 4080 SUPER,999.99,"34,213",34.21,"1,216",320,106.92,16384,Jan 2024,Desktop
GeForce RTX 4090,1799.99,"38,570",21.43,"1,295",450,85.71,24576,Oct 2022,Desktop
GeForce RTX 4090 D,,"37,631",,"1,012",,,,Mar 2024,Unknown
GeForce RTX 4090 Laptop GPU,,"27,862",,982,150,185.75,16384,Feb 2023,Mobile
GeForce2 Go,,4,,95,,,32,Apr 2009,Mobile
GeForce2 GTS/GeForce2 Pro,,4,,136,,,,Feb 2012,Unknown
GeForce2 Integrated GPU,,4,,171,,,,Apr 2009,Unknown
GeForce2 MX,,3,,143,,,64,Jul 2011,Desktop
GeForce2 MX 100/200,,3,,119,,,,Sep 2009,Unknown
GeForce2 MX with DVI-D and TV-out,,5,,187,,,,May 2009,Unknown
GeForce2 MX with TV Out,,3,,98,,,,Apr 2009,Unknown
GeForce2 MX/MX 400,,4,,129,,,,Jul 2009,Unknown
GeForce2 Ti,,5,,149,,,64,May 2009,Desktop
GeForce2 Ultra,,6,,147,,,64,May 2009,Desktop
GeForce3,,5,,120,,,64,Apr 2009,Desktop
GeForce3 Ti 200,,4,,140,,,,Apr 2009,Unknown
GeForce3 Ti 500,,3,,116,,,,Nov 2009,Unknown
GeForce4 420 Go,,3,,147,,,32,Oct 2009,Mobile
GeForce4 420 Go 32M,,5,,168,,,,Apr 2009,Unknown
GeForce4 4200 Go,,4,,173,,,64,Apr 2010,Mobile
GeForce4 440,,5,,193,,,,Mar 2015,Unknown
GeForce4 440 Go,,4,,140,,,64,Apr 2009,Mobile
GeForce4 440 Go 64M,,6,,156,,,,May 2009,Unknown
GeForce4 448 Go,,6,,199,,,,May 2009,Unknown
GeForce4 MX 4000,,5,,131,,,,Apr 2009,Unknown
GeForce4 MX 420,,5,,168,,,64,Apr 2009,Desktop
GeForce4 MX 440,,5,,140,,,64,Jul 2009,Desktop
GeForce4 MX 440 with AGP8X,,5,,157,,,128,Apr 2009,Desktop
GeForce4 MX 440SE,,5,,159,,,,Apr 2009,Unknown
GeForce4 MX 460,,4,,176,,,128,May 2009,Desktop
GeForce4 MX Integrated GPU,,7,,198,,,,Apr 2009,Unknown
GeForce4 Ti 4200,,6,,154,,,,Apr 2009,Unknown
GeForce4 Ti 4400,,7,,170,,,,Apr 2009,Unknown
GeForce4 Ti 4600,53.99,6,0.10,173,,,128,Apr 2009,Desktop
GeForce4 Ti 4800,,6,,190,,,,Oct 2009,Unknown
GeForce4 Ti 4800 SE,,7,,187,,,,May 2009,Unknown
GeForce9400M,,106,,161,,,,Oct 2009,Mobile
GF117,,554,,446,,,,Feb 2015,Unknown
Glenfly Arise-GT-10C0,,"1,007",,389,,,,May 2024,Desktop
GRID GTX P40-6,,"4,340",,277,,,,Dec 2020,Unknown
GRID K1,395.00,651,1.65,259,,,,Aug 2013,Workstation
GRID K120Q,,293,,278,,,,Dec 2015,Workstation
GRID K140Q,,728,,457,,,,Jul 2014,Workstation
GRID K160Q,,628,,262,,,,Mar 2016,Workstation
GRID K180Q,,534,,113,,,,Apr 2015,Workstation
GRID K2,1331.97,"2,737",2.05,319,,,,Aug 2013,Workstation
GRID K220Q,,912,,539,,,,Feb 2015,Workstation
GRID K240Q,,"2,541",,212,,,,Sep 2014,Workstation
GRID K260Q,,"2,949",,361,,,,Feb 2015,Workstation
GRID K280Q,,"2,840",,371,,,,Feb 2015,Workstation
GRID K520,149.99,"3,516",23.44,160,,,,Nov 2013,Workstation
GRID M10-0B,,871,,25,,,,Feb 2024,Unknown
GRID M10-0Q,,796,,344,,,,Aug 2017,Unknown
GRID M10-1B,,"2,310",,417,,,,Jun 2017,Unknown
GRID M10-1Q,,"3,351",,556,,,,Aug 2017,Unknown
GRID M10-2B,,"2,363",,132,,,,Nov 2019,Unknown
GRID M10-2Q,,"2,692",,74,,,,Apr 2020,Unknown
GRID M10-4Q,,"2,977",,273,,,,Aug 2018,Unknown
GRID M10-8Q,,"1,756",,228,,,,May 2018,Unknown
GRID M6-0B,,912,,764,,,,Jun 2016,Workstation
GRID M6-1Q,,"2,069",,423,,,,Apr 2019,Unknown
GRID M6-8Q,,"3,568",,556,,,,Dec 2017,Unknown
GRID M60-0B,,"1,838",,596,,,,Aug 2017,Unknown
GRID M60-0Q,,827,,516,,,,Apr 2018,Unknown
GRID M60-1B,,"4,457",,483,,,,May 2016,Workstation
GRID M60-1Q,,"3,695",,181,,,,May 2017,Unknown
GRID M60-2Q,,"5,203",,311,,,,Apr 2017,Unknown
GRID M60-4Q,,"3,831",,278,,,,Apr 2016,Workstation
GRID M60-8A,,"5,523",,380,,,,Dec 2019,Unknown
GRID M60-8Q,,"3,884",,618,,,,Mar 2017,Unknown
GRID P100-16Q,,"5,945",,757,,,,Aug 2018,Unknown
GRID P100-1B,,"2,223",,544,,,,Aug 2018,Unknown
GRID P100-8Q,,"3,267",,264,,,,Jan 2020,Unknown
GRID P4-1B,,"2,151",,56,,,,Feb 2024,Unknown
GRID P4-1Q,,375,,87,,,,May 2024,Desktop
GRID P4-4Q,,"6,843",,469,,,,Feb 2024,Unknown
GRID P4-8A,,"3,206",,71,,,,Feb 2024,Unknown
GRID P4-8Q,,"6,733",,249,,,,Apr 2023,Unknown
GRID P40-12Q,,"11,028",,500,,,,Dec 2022,Unknown
GRID P40-1A,,"4,909",,63,,,,Apr 2024,Desktop
GRID P40-24Q,,"8,719",,479,,,,Oct 2018,Unknown
GRID P40-2B,,"9,842",,548,,,,Jun 2018,Unknown
GRID P40-2B4,,"9,111",,267,,,,Jun 2023,Unknown
GRID P40-2Q,,"4,844",,281,,,,Dec 2018,Unknown
GRID P40-3Q,,681,,603,,,,Apr 2019,Unknown
GRID P40-4Q,,"5,365",,670,,,,Apr 2019,Unknown
GRID P40-6Q,,905,,33,,,,Apr 2023,Unknown
GRID P40-8Q,,"7,432",,201,,,,Jun 2023,Unknown
GRID P6-2Q,,"3,926",,337,,,,Sep 2018,Unknown
GRID P6-4A,,"2,639",,42,,,,Apr 2022,Unknown
GRID P6-4Q,,"4,429",,586,,,,Mar 2018,Unknown
GRID RTX6000-1B,,"8,473",,592,,,,Jul 2023,Unknown
GRID RTX6000-6Q,,"21,987",,782,,,,May 2024,Desktop
GRID RTX6000P-4Q,,"4,283",,76,,,,Aug 2020,Unknown
GRID RTX6000P-6Q,,"4,777",,192,,,,Jul 2021,Unknown
GRID RTX8000-2Q,,"3,574",,86,,,,Oct 2021,Unknown
GRID RTX8000-4Q,,"3,961",,81,,,,Jun 2020,Unknown
GRID RTX8000P-12A,,"4,166",,78,,,,Feb 2024,Unknown
GRID RTX8000P-2Q,,"3,843",,84,,,,Nov 2020,Unknown
GRID T4-16Q,,"5,055",,83,,,,Aug 2023,Unknown
GRID T4-1Q,,"3,303",,78,,,,Sep 2020,Unknown
GRID T4-2B,,"2,601",,62,,,,Mar 2022,Unknown
GRID T4-2Q,,"3,451",,73,,,,Mar 2021,Unknown
GRID T4-4Q,,"3,260",,83,,,,Feb 2021,Unknown
GRID T4-8Q,,"5,680",,272,,,,Mar 2020,Unknown
GRID V100-2Q,,"3,811",,78,,,,May 2022,Unknown
GRID V100-8Q,,16,,149,,,,May 2018,Unknown
GRID V100D-2Q,,"4,668",,79,,,,Jun 2023,Unknown
GRID V100D-8Q,,"4,156",,518,,,,Aug 2019,Unknown
GT 430,142.88,223,1.56,325,,,,Apr 2013,Unknown
IncrediblE HD,,389,,427,,,,Apr 2016,Unknown
IncrediblE HD 3000,,291,,18,,,,Apr 2021,Unknown
IncrediblE HD 4000,,517,,520,,,,Jan 2017,Unknown
IncrediblE HD 4600,,750,,735,,,,Nov 2018,Unknown
Intel - Express Chipset G41,,57,,325,,,,Dec 2011,Unknown
Intel - Express Chipset Q45/Q43,,58,,336,,,,Aug 2011,Unknown
Intel 2nd Generation SandyBridge HD,,169,,122,,,,May 2017,Unknown
Intel 2nd Generation SandyBridge HD 3000,,205,,555,,,,Oct 2016,Unknown
Intel 3rd Generation IvyBridge HD GT1,,161,,14,,,,Mar 2023,Unknown
Intel 4th Generation Haswell HD,,420,,734,,,,Apr 2017,Unknown
Intel 82845G Controller,,2,,132,,,,Apr 2009,Unknown
Intel 82845G/GL Controller,,3,,176,,,,Apr 2009,Unknown
Intel 82845G/GL/GE/PE/GV Controller,,3,,159,,,,Apr 2009,Unknown
Intel 82852/82855 GM/GME Controller,,1,,107,,,,Jan 2010,Unknown
Intel 82865G Controller,,5,,194,,,,May 2009,Unknown
Intel 82915G Express,,6,,206,,,,Mar 2010,Unknown
Intel 82915G/915GV/910GL,,4,,95,,,,Jan 2020,Unknown
Intel 82915G/GV/910GL Advanced v3.5,,3,,94,,,,Oct 2010,Unknown
Intel 82915G/GV/910GL Express,,3,,142,,,,Jun 2010,Unknown
Intel 82945G Express,,11,,11,,,,Apr 2009,Unknown
Intel 82945G Express-Chipsatzfamilie,,8,,240,,,,May 2016,Unknown
Intel 865 Embedded Controller,,4,,20,,,,Jun 2010,Unknown
"Intel 915G,910G Express",,4,,166,,,,Apr 2015,Unknown
Intel 915G/915GV/910GL Embedded Controller Functio,,5,,41,,,,Jun 2016,Unknown
Intel 945G Embedded Chipset Function 0,,5,,251,,,,Oct 2016,Unknown
Intel 946GZ Embedded Chipset,,3,,66,,,,May 2017,Unknown
Intel 946GZ Express,,3,,34,,,,Apr 2009,Unknown
Intel Arc,,"5,210",,650,,,,Nov 2023,Unknown
Intel Arc A310,109.99,"5,496",49.97,651,,,,Jul 2023,Unknown
Intel Arc A310 LP,,"4,366",,410,,,,Jan 2024,Unknown
Intel Arc A370M,,"5,115",,724,,,,Feb 2023,Unknown
Intel Arc A380,119.99,"6,228",51.90,603,75,83.04,6144,Jul 2022,Desktop
Intel Arc A530M,,"6,238",,602,,,,Jan 2024,Unknown
Intel Arc A580,179.99,"11,627",64.60,723,,,,Oct 2023,Unknown
Intel Arc A730M,,"10,488",,683,,,,Oct 2023,Unknown
Intel Arc A750,199.99,"11,918",59.59,673,225,52.97,8192,Oct 2022,Desktop
Intel Arc A770,279.99,"13,031",46.54,752,225,57.92,16384,Oct 2022,Desktop
Intel Arc A770M,,"11,520",,710,150,76.80,16384,Nov 2022,Mobile
Intel Arc Pro,,"5,559",,757,,,,Aug 2024,Desktop
Intel Arc Pro A30M,,"5,862",,696,,,,Feb 2024,Unknown
Intel Arc Pro A60,,"9,301",,734,,,,Jun 2023,Unknown
